SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
206031116,33.99592280767578,0.33762780203259507,-0.0311167070769637,16224,2528,2111,38,1067.0,1097.0,4.3551,3725.28759385548,15.581854043392504,0.3927844942016918
206031501,33.81011792956523,0.35253458788168673,-0.02656349523573675,16042,2595,2195,40,1073.0,1086.0,4.8886,3281.512089350734,16.176287245979303,0.20697961609113946
206031502,33.746585196239394,0.36257154130267893,-0.03884225481094144,12191,1828,2055,37,1071.0,1091.0,3.5543,3429.929944011479,14.994668197850874,0.14344688276530349
206041117,33.2902691672767,0.2783607752169857,-0.0452186274048324,16655,1358,1289,27,962.0,1050.0,1.8187,9157.640072579316,8.153707595316721,-0.3128691461973929
206041118,30.978567064131976,0.1125075878766962,1.0227992153140527e-05,15493,944,1956,32,1044.0,1109.0,2.444,6339.198036006547,6.093074291615568,-2.6245712493421145
206041119,32.26358892192335,0.4106595090176078,-0.14721425742477537,4896,1094,2345,42,1107.0,1156.0,2.8998,1688.3923029174423,22.344771241830067,-1.3395493915507402
206041120,34.006631774328184,0.419499600269427,-0.11078685461743751,77,0,2178,32,1119.0,1133.0,1.7093,45.04768033698005,0.0,0.40349346085409366
206041121,33.91492274398606,0.2821301493603431,-0.01889447188117199,10745,1096,2216,35,1044.0,1097.0,2.147,5004.65766185375,10.200093066542577,0.31178443051197036
206041124,32.49831871121703,0.44083045139223725,-0.11354176361182722,7297,742,1885,26,1055.0,1102.0,4.0491,1802.128868143538,10.168562422913526,-1.1048196022570593
206041125,31.908630654718706,0.4446813697560321,-0.13470179452621875,6423,1463,2259,39,1103.0,1147.0,1.5027,4274.306248752247,22.77751829363226,-1.6945076587553842
206041127,34.2998342390963,0.08139543240940186,0.004606734941993191,0,0,0,0,,,6.1992,0.0,,0.6966959256222083
206041503,32.81412828332983,0.15458394385255314,0.029826832150401873,9848,628,1511,30,995.0,1079.0,0.802,12279.30174563591,6.376929325751422,-0.7890100301442615
206041504,32.44924741155939,0.13695873627711813,0.0283185949589428,16870,324,1089,26,961.0,1051.0,0.5616,30039.17378917379,1.920569057498518,-1.1538909019147
206041505,31.84197420379575,0.1606524121864907,0.0066374223816488,15648,394,1446,29,994.0,1073.0,1.0051,15568.60013928962,2.5178936605316973,-1.7611641096783401
206041506,33.86573761587648,0.23924032125985667,-0.00997870164360727,15637,1262,1718,31,981.0,1056.0,2.4248,6448.779280765424,8.070601777834623,0.2625993024023927
206041507,28.504880316692216,0.6532722920374469,-0.31279366934852953,0,0,7000,70,,,1.3511,0.0,,-5.098257996781875
206041508,32.838290418549455,0.1371097169874734,0.001973134820771621,6463,542,2054,33,1055.0,1112.0,0.8496,7607.10922787194,8.386198359894784,-0.7648478949246353
206041509,33.47505171628808,0.228128034767278,-0.01961309519203631,16101,738,1880,31,1052.0,1104.0,0.804,20026.119402985078,4.583566238121856,-0.12808659718601234
206041510,33.92544287490118,0.23290585019957805,-0.014328670508630851,7446,325,1784,31,1046.0,1099.0,0.8247,9028.737722808291,4.364759602471126,0.32230456142708874
206051128,31.935477064855696,0.32431141621512183,-0.08284895257264825,15825,2952,2303,41,1084.0,1132.0,4.6747,3385.243972875265,18.65402843601896,-1.6676612486183942
206051129,31.29342276786762,0.36964597845243635,-0.05174969488353566,14818,1591,2093,38,1083.0,1117.0,2.553,5804.1519780650215,10.736941557565125,-2.309715545606469
206051130,32.822245523445666,0.26740469518935917,-0.033902099891188996,16192,2816,2347,43,1052.0,1108.0,2.7894,5804.8325804832575,17.391304347826086,-0.7808927900284246
206051134,32.49488288184267,0.32582546672055085,-0.0250550707176422,15813,1559,1988,34,1066.0,1101.0,2.4135,6551.895587321318,9.858976791247708,-1.1082554316314202
206051511,34.59429167340113,0.1481375012545399,0.018068628508217964,1907,49,2407,32,1084.0,1141.0,7.6426,249.5224138382226,2.5694808599895125,0.9911533599270399
206051512,33.50020549386607,0.2324389639626713,-0.0116335244845235,11693,1881,2103,39,1029.0,1094.0,1.8897,6187.754670053448,16.086547507055503,-0.10293281960802148
206051513,32.678338187645224,0.28137715701395527,-0.02178987615269827,11857,1088,1788,35,1047.0,1083.0,1.5375,7711.869918699186,9.176014168845407,-0.9248001258288667
206051514,32.37955205922399,0.31889334250312673,-0.05909113691889004,13858,1869,1849,38,1052.0,1091.0,2.3637,5862.842154249693,13.48679463125992,-1.223586254250101
206061135,32.44542522108948,0.3543590600973697,-0.055323739630111224,9336,1784,2207,38,1089.0,1130.0,2.1835,4275.704144721777,19.108826049700088,-1.1577130923846113
